acct|period|cash|mkt|feature_max_mkt|feature_prev_1_max_mkt|feature_prev_2_max_mkt
13941462|2021-09|0.0|13807.61235|13807.61235|13785.96422|13785.96422
13941462|2021-10|0.0|14146.1838|14146.1838|13807.61235|13807.61235
13964997|2021-06|0.0|212632.46913|212632.46913|211372.96312|211372.96312
13964997|2021-07|0.0|214589.99821|214589.99821|212632.46913|212632.46913
13964997|2021-08|0.0|214163.32385|214589.99821|214589.99821|214589.99821
13964997|2021-09|0.0|212631.49048|214589.99821|214589.99821|214589.99821
13964997|2021-10|0.0|212646.27056|214163.32385|214589.99821|214589.99821
14867192|2021-06|0.0|75820.29721|75820.29721|75205.28621|75205.28621
14867192|2021-07|0.0|75542.64173|75820.29721|75820.29721|75820.29721
14867192|2021-08|0.0|75507.07744|75820.29721|75820.29721|75820.29721
14867192|2021-09|0.6399999999994179|73047.39664|75542.64173|75820.29721|75820.29721
14867192|2021-10|0.0|75514.47004|75514.47004|75542.64173|75542.64173
14982618|2021-06|0.0|4190.886|4190.886|4076.94042|4076.94042
14982618|2021-07|0.0|4317.41472|4317.41472|4190.886|4190.886
14982618|2021-08|0.0|4397.3172|4397.3172|4317.41472|4317.41472
14982618|2021-09|0.0|4463.67096|4463.67096|4397.3172|4397.3172
14982618|2021-10|0.0|4558.93223|4558.93223|4463.67096|4463.67096
15083575|2021-06|0.0|184444.0379|184444.0379|183267.51964|183267.51964
15083575|2021-07|0.0|185953.1602|185953.1602|184444.0379|184444.0379
15083575|2021-08|0.0|186218.69818|186218.69818|185953.1602|185953.1602
15083575|2021-09|0.0|183325.40792|186218.69818|186218.69818|186218.69818
15083575|2021-10|0.0|184883.27683|186218.69818|186218.69818|186218.69818
15260947|2021-06|4350.059999999998|90350.69605|94305.44307|94305.44307|94305.44307
15260947|2021-07|4350.059999999998|88821.83327|94305.44307|94305.44307|94305.44307
15260947|2021-08|4350.059999999998|87728.9486|90350.69605|94305.44307|94305.44307
15260947|2021-09|4453.290000000008|82613.7439|88821.83327|90350.69605|90350.69605
15260947|2021-10|4453.289999999994|87717.83469|87728.9486|88821.83327|88821.83327
15300973|2021-06|0.0|194256.9|194256.9|191504.34|191504.34
15300973|2021-07|0.0|194534.51|194534.51|194256.9|194256.9
15300973|2021-08|0.0|197698.01|197698.01|194534.51|194534.51
15300973|2021-09|250.20000000001164|191221.0|197698.01|197698.01|197698.01
15300973|2021-10|0.0|197922.09|197922.09|197698.01|197698.01
15492854|2021-06|0.0|225583.6361|225583.6361|224633.3516|224633.3516
15492854|2021-07|0.0|226720.7975|226720.7975|225583.6361|225583.6361
15492854|2021-08|0.0|229755.66766|229755.66766|226720.7975|226720.7975
15492854|2021-09|0.0|223043.43885|229755.66766|229755.66766|229755.66766
15492854|2021-10|0.0|229084.65411|229755.66766|229755.66766|229755.66766
15823217|2021-06|0.0|56187.96456|56187.96456|52031.88065|52031.88065
15823217|2021-07|0.0|59263.88811|59263.88811|56187.96456|56187.96456
15823217|2021-08|0.0|61460.3442|61460.3442|59263.88811|59263.88811
15823217|2021-09|0.0|57721.73081|61460.3442|61460.3442|61460.3442
15823217|2021-10|0.0|60798.26081|61460.3442|61460.3442|61460.3442
15985505|2021-06|0.0|453809.59|453809.59|449861.62|449861.62
15985505|2021-07|0.0|454210.84|454210.84|453809.59|453809.59
15985505|2021-08|0.0|460664.38|460664.38|454210.84|454210.84
15985505|2021-09|759.3699999999953|448925.87|460664.38|460664.38|460664.38
15985505|2021-10|0.0|464029.39|464029.39|460664.38|460664.38
16100688|2021-06|0.0|499817.26|499817.26|499813.17|499813.17
16100688|2021-07|0.0|499759.01|499817.26|499817.26|499817.26
16100688|2021-08|0.0|499763.24|499817.26|499817.26|499817.26
16100688|2021-09|0.0|499768.41|499768.41|499817.26|499817.26
16100688|2021-10|0.0|499713.54|499768.41|499768.41|499768.41
16214976|2021-06|0.0|3643.7085|3643.7085|3606.56795|3606.56795
16214976|2021-07|0.0|3741.3735|3741.3735|3643.7085|3643.7085
16214976|2021-08|0.0|3868.208|3868.208|3741.3735|3741.3735
16214976|2021-09|0.0|3766.8148|3868.208|3868.208|3868.208
16214976|2021-10|0.0|4069.11499|4069.11499|3868.208|3868.208
16285203|2021-06|0.0|15994.46638|15994.46638|15226.46515|15226.46515
16285203|2021-07|0.0|16848.47728|16848.47728|15994.46638|15994.46638
16285203|2021-08|0.0|17749.78668|17749.78668|16848.47728|16848.47728
16285203|2021-09|-3.637978807091713e-12|17384.09598|17749.78668|17749.78668|17749.78668
16285203|2021-10|0.0|18896.79598|18896.79598|17749.78668|17749.78668
16394604|2021-06|0.0|42841.52584|42841.52584|41793.3567|41793.3567
16394604|2021-07|0.0|43202.09664|43202.09664|42841.52584|42841.52584
16394604|2021-08|0.0|44886.5057|44886.5057|43202.09664|43202.09664
16394604|2021-09|0.0|43322.17287|44886.5057|44886.5057|44886.5057
16394604|2021-10|0.0|45985.2606|45985.2606|44886.5057|44886.5057
16404222|2021-06|0.0|19917.01605|19917.01605|19769.62086|19769.62086
16404222|2021-07|0.0|19919.15572|19919.15572|19917.01605|19917.01605
16404222|2021-08|0.0|20193.18652|20193.18652|19919.15572|19919.15572
16404222|2021-09|0.0|19639.3281|20193.18652|20193.18652|20193.18652
16404222|2021-10|0.0|20150.76622|20193.18652|20193.18652|20193.18652
16469916|2021-06|0.0|52629.65175|52629.65175|51546.54612|51546.54612
16469916|2021-07|0.0|53528.82992|53528.82992|52629.65175|52629.65175
16469916|2021-08|0.0|54478.7296|54478.7296|53528.82992|53528.82992
16469916|2021-09|0.0|53110.08744|54478.7296|54478.7296|54478.7296
16469916|2021-10|0.0|54895.9495|54895.9495|54478.7296|54478.7296
16795684|2021-06|0.0|410822.98552|419337.67687|419337.67687|419337.67687
16795684|2021-07|0.0|397060.4269|419337.67687|419337.67687|419337.67687
16795684|2021-08|0.0|407850.2016|410822.98552|419337.67687|419337.67687
16795684|2021-09|1124.280000000028|365960.03554|407850.2016|410822.98552|410822.98552
16795684|2021-10|0.0|47737.1332|407850.2016|407850.2016|407850.2016
16820604|2021-06|106.98999999999069|1310350.71172|1310350.71172|1270346.2389|1270346.2389
16820604|2021-07|114.60000000009312|1320541.6949|1320541.6949|1310350.71172|1310350.71172
